year,winners,losers
1956,0.7050359712230215,0.2949640287769784
1960,0.49019607843137253,0.5098039215686274
1964,0.6839080459770115,0.3160919540229885
1968,0.5454545454545454,0.45454545454545453
1972,0.6488888888888888,0.3511111111111111
1976,0.41818181818181815,0.5818181818181818
1980,0.22837370242214533,0.7716262975778547
1984,0.7598425196850394,0.24015748031496062
1988,0.48014440433212996,0.51985559566787
1992,0.4316353887399464,0.5683646112600537
1996,0.6059322033898306,0.3940677966101695
2000,0.5317460317460317,0.46825396825396826
2004,0.6790123456790124,0.32098765432098764
2008,0.630718954248366,0.369281045751634
2012,0.6340057636887608,0.3659942363112392
2016,0.5934959349593496,0.4065040650406504
